id,value
id_0,5.174960398984755
id_1,18.306214253527884
id_2,20.49121809418055
id_3,11.523942869805333
id_4,26.616056752306132
id_5,20.531348081761198
id_6,21.906551018797394
id_7,31.736468747068823
id_8,13.391674055111695
id_9,64.45646650291951
id_10,20.26456883615943
id_11,15.358576077361228
id_12,68.58947276926727
id_13,48.42811374745712
id_14,18.70233382419317
id_15,10.188595737466674
id_16,30.740362859820426
id_17,71.1322177635511
id_18,-4.130517391262466
id_19,18.235694016428692
id_20,38.57892227500773
id_21,71.3115197253133
id_22,7.410348162634066
id_23,18.71795533032145
id_24,14.937250260084545
id_25,36.719736694705304
id_26,17.961697005662693
id_27,75.78946287210539
id_28,12.309310248614493
id_29,56.29535173964959
id_30,25.113160865661495
id_31,4.610248674094013
id_32,2.483770554515031
id_33,24.75942226132127
id_34,30.4802804655912
id_35,38.46393074642668
id_36,44.20231060933005
id_37,30.086836019865988
id_38,40.473675015740056
id_39,29.226479902317347
id_40,5.606456054343938
id_41,38.666016078789625
id_42,34.61021343187721
id_43,48.38969750738478
id_44,14.757247666944165
id_45,34.466820110872106
id_46,27.483106874184347
id_47,12.000879378154059
id_48,21.37803615160372
id_49,28.544403091663277
id_50,20.165513818411593
id_51,10.796678149746528
id_52,22.171035755750164
id_53,53.44626310935223
id_54,12.219581121609973
id_55,43.30096845517155
id_56,32.18233510328542
id_57,22.567217514570807
id_58,56.739514165547085
id_59,20.74505294529548
id_60,15.028854557473242
id_61,39.855301590385096
id_62,12.975340680728316
id_63,51.741659592830054
id_64,18.783369632539898
id_65,12.348752842777708
id_66,15.633623653541889
id_67,-0.05887147068502483
id_68,41.50801107307594
id_69,31.54874753065598
id_70,18.604251157547044
id_71,37.47681972488067
id_72,56.52039065762301
id_73,6.587877193521968
id_74,12.229339737435017
id_75,5.203696404134677
id_76,47.92737510380056
id_77,13.020705685594667
id_78,17.11030169390359
id_79,20.603234531002034
id_80,21.284481560784574
id_81,38.69293529051181
id_82,30.020716675725833
id_83,88.76740666723548
id_84,35.98470023966825
id_85,26.756913553477162
id_86,23.963516843564403
id_87,32.74724282808307
id_88,22.189043755319922
id_89,20.992158853626567
id_90,29.555994316645435
id_91,40.99216886651778
id_92,8.62511780991155
id_93,32.3214718088779
id_94,46.59804436536764
id_95,22.884070826723544
id_96,31.518129728251637
id_97,11.198233479766095
id_98,28.527436642529608
id_99,0.29115068008963907
id_100,17.966961079539686
id_101,27.124163929470168
id_102,11.398232780652851
id_103,16.426426865673534
id_104,23.425261046922177
id_105,40.616082670568375
id_106,25.864125026560355
id_107,5.422736951672363
id_108,10.794921122256138
id_109,72.86213692992125
id_110,48.02283705948136
id_111,15.746808276902946
id_112,24.670410614177968
id_113,12.827793326536717
id_114,10.158057570240485
id_115,27.269223342020975
id_116,29.208738577932433
id_117,8.835339619930727
id_118,20.051088137129742
id_119,20.21233374376425
